"Plot Title: Temp1"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 21022943, SEN S/N: 21022943)","Intensity, lum/ft² (LGR S/N: 21022943, SEN S/N: 21022943)","Coupler Attached (LGR S/N: 21022943)","Coupler Detached (LGR S/N: 21022943)","End Of File (LGR S/N: 21022943)"
266,11/13/2021 06:12:21 PM,36.338,0.0,,,
267,11/13/2021 08:12:21 PM,36.531,0.0,,,
268,11/13/2021 10:12:21 PM,36.914,0.0,,,
269,11/14/2021 12:12:21 AM,36.914,0.0,,,
270,11/14/2021 02:12:21 AM,36.723,0.0,,,
271,11/14/2021 04:12:21 AM,36.338,0.0,,,
272,11/14/2021 06:12:21 AM,35.951,0.0,,,
273,11/14/2021 08:12:21 AM,35.758,0.0,,,
274,11/14/2021 10:12:21 AM,35.564,0.0,,,
275,11/14/2021 12:12:21 PM,35.758,0.0,,,
276,11/14/2021 02:12:21 PM,36.531,0.0,,,
277,11/14/2021 04:12:21 PM,37.488,0.0,,,
278,11/14/2021 06:12:21 PM,38.250,0.0,,,
279,11/14/2021 08:12:21 PM,38.629,0.0,,,
280,11/14/2021 10:12:21 PM,38.818,0.0,,,
281,11/15/2021 12:12:21 AM,38.629,0.0,,,
282,11/15/2021 02:12:21 AM,38.250,0.0,,,
283,11/15/2021 04:12:21 AM,38.061,0.0,,,
284,11/15/2021 06:12:21 AM,37.870,0.0,,,
285,11/15/2021 08:12:21 AM,37.679,0.0,,,
286,11/15/2021 10:12:21 AM,37.679,0.0,,,
287,11/15/2021 12:12:21 PM,37.870,0.0,,,
288,11/15/2021 02:12:21 PM,38.440,0.0,,,
289,11/15/2021 04:12:21 PM,39.384,0.0,,,
290,11/15/2021 06:12:21 PM,40.321,0.0,,,
291,11/15/2021 08:12:21 PM,40.881,0.0,,,
292,11/15/2021 10:12:21 PM,40.881,0.0,,,
293,11/16/2021 12:12:21 AM,40.509,0.0,,,
294,11/16/2021 02:12:21 AM,39.947,0.0,,,
295,11/16/2021 04:12:21 AM,39.384,0.0,,,
296,11/16/2021 06:12:21 AM,39.007,0.0,,,
297,11/16/2021 08:12:21 AM,38.818,0.0,,,
298,11/16/2021 10:12:21 AM,38.818,0.0,,,
299,11/16/2021 12:12:21 PM,39.196,0.0,,,
300,11/16/2021 02:12:21 PM,40.134,0.0,,,
301,11/16/2021 04:12:21 PM,41.625,0.0,,,
302,11/16/2021 06:12:21 PM,42.548,0.0,,,
303,11/16/2021 08:12:21 PM,42.915,0.0,,,
304,11/16/2021 10:12:21 PM,42.732,0.0,,,
305,11/17/2021 12:12:21 AM,41.994,0.0,,,
306,11/17/2021 02:12:21 AM,41.439,0.0,,,
307,11/17/2021 04:12:21 AM,41.067,0.0,,,
308,11/17/2021 06:12:21 AM,40.696,0.0,,,
309,11/17/2021 08:12:21 AM,40.321,0.0,,,
310,11/17/2021 10:12:21 AM,39.947,0.0,,,
311,11/17/2021 12:12:21 PM,39.760,0.0,,,
312,11/17/2021 02:12:21 PM,40.321,0.0,,,
313,11/17/2021 04:12:21 PM,40.881,0.0,,,
314,11/17/2021 06:12:21 PM,41.254,0.0,,,
315,11/17/2021 08:12:21 PM,40.696,0.0,,,
316,11/17/2021 10:12:21 PM,39.947,0.0,,,
317,11/18/2021 12:12:21 AM,39.007,0.0,,,
318,11/18/2021 02:12:21 AM,38.440,0.0,,,
319,11/18/2021 04:12:21 AM,37.870,0.0,,,
320,11/18/2021 06:12:21 AM,37.488,0.0,,,
321,11/18/2021 08:12:21 AM,37.107,0.0,,,
322,11/18/2021 10:12:21 AM,36.723,0.0,,,
323,11/18/2021 12:12:21 PM,36.531,0.0,,,
324,11/18/2021 02:12:21 PM,36.914,0.0,,,
325,11/18/2021 04:12:21 PM,37.679,0.0,,,
326,11/18/2021 06:12:21 PM,38.250,0.0,,,
327,11/18/2021 08:12:21 PM,38.250,0.0,,,
328,11/18/2021 10:12:21 PM,37.870,0.0,,,
329,11/19/2021 12:12:21 AM,37.297,0.0,,,
330,11/19/2021 02:12:21 AM,36.723,0.0,,,
331,11/19/2021 04:12:21 AM,36.145,0.0,,,
332,11/19/2021 06:12:21 AM,35.951,0.0,,,
333,11/19/2021 08:12:21 AM,35.564,0.0,,,
334,11/19/2021 10:12:21 AM,35.370,0.0,,,
335,11/19/2021 12:12:21 PM,35.370,0.0,,,
336,11/19/2021 02:12:21 PM,35.951,0.0,,,
337,11/19/2021 04:12:21 PM,36.531,0.0,,,
338,11/19/2021 06:12:21 PM,36.914,0.0,,,
339,11/19/2021 08:12:21 PM,37.107,0.0,,,
340,11/19/2021 10:12:21 PM,36.914,0.0,,,
